"고유번호","녹지대ID","녹지대명","주소한글","녹지대분류","녹지대조성년도","녹지대면적","조경량","구명","구코드","X 좌표","Y 좌표"
"2136","0","탄천제방수림대","","수림대","0","72000.00000000","0E-8","송파구","710","208102.761","444358.73"
"2137","0","테헤란로분리대","","분리녹지대","0","8253.00000000","0E-8","강남구","680","202641.201","444355.375"
"2139","0","통일로","","노변분리대","0","1524.00000000","15109.00000000","은평구","380","192504.198","460381.173"
"2141","0","도시구조물벽면녹화","아차성길","기타","0","84.00000000","0E-8","광진구","210","208647.951","449770.2"
"2107","0","면목천길 녹지대","상봉2동~면목5동","도로변녹지","0","10273.00000000","15500.00000000","중랑구","260","207543.81","454535.266"
"2143","0","푸른거리(홍대입구-성모병","","도로변녹지","0","667.00000000","0E-8","마포구","440","192766.644","450956.084"
"2033","0","철도연변","행당1동 316-60","도로변녹지","0","18000.00000000","0E-8","성동구","200","203446.615","451340.463"
"2116","0","장한동로터리녹지대","장한동","광장녹지","0","862.00000000","869.00000000","동대문구","230","206301.783","452556.678"
"2145","0","청계천변(신답역)","신답역부근","수림대","0","6028.00000000","0E-8","성동구","200","203523.815","452568.789"
"2149","0","대방역앞도로공원","신길1372-4","도로변녹지","0","2200.00000000","0E-8","영등포구","560","193446.693","445939.354"
"2205","0","남부순환로변 수림대","신월동 631","수림대","0","21368.00000000","0E-8","양천구","470","185774.214","446452.878"
"2210","0","합정로변 푸른거리","2003.하반기 완공예정","","0","0E-8","0E-8","마포구","440","192149.908","450575.767"
"2219","0","능동로걷고 싶은 거리","","도로변녹지","0","1516.00000000","0E-8","광진구","210","205935.386","448154.199"
"2225","0","강동대로 녹지","강동대로(풍납사거리-둔촌","광장녹지","0","0E-8","0E-8","강동구","740","211634.614","447032.572"
"2155","0","혜화동 로터리 녹지","","도로공원","0","1450.00000000","3576.00000000","종로구","110","200107.303","454000.482"
"2156","0","양화로푸른거리","","도로변녹지","0","892.00000000","0E-8","마포구","440","192651.696","450224.242"
"2157","0","남부순환도로 분리대","","노변분리대","0","2022.00000000","0E-8","송파구","710","209806.507","444137.393"
"2159","0","올림픽로 분리대","","중앙분리대","0","28907.00000000","0E-8","송파구","710","206699.235","445761.528"
"2160","0","중랑천변 녹지대","창4동 중랑천변 하천뚝","하천변 조경","1991","13300.00000000","49995.00000000","도봉구","320","204831.586","460500.042"
"2161","0","신월 I.C","신월동 839","일반녹지","0","36230.00000000","0E-8","양천구","470","185544.956","447402.878"
"2162","0","영동대로분리대","","분리녹지대","0","8971.00000000","0E-8","강남구","680","204905.881","447051.249"
"2163","0","안암동 쉼터","안암동3가 137-71","간이휴게소","0","51.00000000","1202.00000000","성북구","290","202114.563","453779.79"
"2164","0","구의2마을마당","구의동 612-35","마을마당","0","329.00000000","0E-8","광진구","210","207000.954","448395.068"
"2165","0","사근동228-1","사근동228-1","기타","0","15.00000000","0E-8","성동구","200","204272.799","451437.441"
"2167","0","세종로 녹지","","광장녹지","0","3471.00000000","1829.00000000","종로구","110","198044.566","452827.997"
"2144","0","개봉역철도방음벽녹지","","도로변녹지","0","450.00000000","0E-8","구로구","530","187673.564","443849.324"
"2147","0","남부순환로","","중앙분리","0","10363.00000000","0E-8","관악구","620","193936.039","442781.814"
"2169","0","양화ic","양평2동184-4일대","광장녹지","0","35815.00000000","0E-8","영등포구","560","191252.933","448700.661"
"2170","0","도봉역앞 녹지대","도봉동637","도로변녹지","1993","702.00000000","1800.00000000","도봉구","320","203967.362","464383.107"
"2173","0","석계역주변 녹지대","석계역주변","도로변녹지","0","0E-8","0E-8","성북구","290","205882.308","456994.254"
